SortOrder,RoundNo,HomeTeam,AwayTeam,MatchDate,StartTime,EndTime,Location,Field #
22,6,Baseball-MAJ-Dolphins,NE-MAJ-01,7/24/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #3
23,6,BL-MAJ-02,NW-MAJ-01,7/24/2025,18:00,20:00,Gilman Playground,Field #2
24,6,QA-MAJ-01,Baseball-MAJ-Starfish,7/24/2025,18:00,20:00,West Queen Anne Playfield,Field #3
25,7,RUG-MAJ-01,BL-MAJ-02,7/29/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
26,7,NE-MAJ-01,NW-MAJ-01,7/30/2025,18:00,20:00,Magnuson Park,Field #10
27,7,Baseball-MAJ-Starfish,BL-MAJ-01,7/29/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #3
28,7,QA-MAJ-01,Baseball-MAJ-Dolphins,7/29/2025,18:00,20:00,West Queen Anne Playfield,Field #3
29,8,Baseball-MAJ-Starfish,Baseball-MAJ-Dolphins,7/31/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #3
30,8,BL-MAJ-01,BL-MAJ-02,7/31/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #2
31,8,QA-MAJ-01,NW-MAJ-01,7/31/2025,18:00,20:00,West Queen Anne Playfield,Field #3
32,8,RUG-MAJ-01,NE-MAJ-01,7/31/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
33,9,Baseball-MAJ-Dolphins,RUG-MAJ-01,8/5/2025,18:00,20:00,Ross Park Playfield,Lower Field
34,9,QA-MAJ-01,BL-MAJ-01,8/5/2025,18:00,20:00,West Queen Anne Playfield,Field #3
35,9,Baseball-MAJ-Starfish,NW-MAJ-01,8/5/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #6
36,9,NW-MAJ-01,BL-MAJ-02,8/5/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
37,10,RUG-MAJ-01,QA-MAJ-01,8/7/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
38,10,Baseball-MAJ-Starfish,BL-MAJ-02,8/7/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #6
39,10,Baseball-MAJ-Dolphins,NW-MAJ-01,8/7/2025,18:00,20:00,Magnuson Park,Field #10
